MlDomainName,MlIntentName,Utterance
Alpha1,FAFSA_Eligibility,Can I get financial aid?
Alpha1,FAFSA_Eligibility,Do I qualify for financial aid?
Alpha1,FAFSA_Eligibility,How to qualify for financial aid?
Alpha1,FAFSA_Eligibility,How to get financial assistance?
Alpha1,FAFSA_Eligibility,Get help paying for school
Alpha1,FAFSA_Eligibility,do I qualify for assistance
Alpha1,FAFSA_Eligibility,how do I know if I qualify
Alpha1,FAFSA_Eligibility, I need financial assistance
Alpha1,FAFSA_Eligibility,Do I qualify?
Alpha1,FAFSA_Eligibility,How do I know if I qualify?
Alpha1,FAFSA_Eligibility,What are the requirements for financial aid?
Alpha1,FAFSA_Eligibility,Do I qualify for assistance?
Alpha1,FAFSA_Eligibility,How do I know if I get FAFSA?
Alpha1,FAFSA_Eligibility,Where can I check to see if I am eligible for financial aid?
Alpha1,FAFSA_Eligibility,Where can I check to see if I am eligible for FAFSA
Alpha1,FAFSA_Eligibility,Can I get FAFSA?
Alpha1,FAFSA_Eligibility,Do I qualify for assistance?
Alpha1,FAFSA_Eligibility, Am I eligible?
Alpha1,FAFSA_Eligibility, Do I get financial aid?
Alpha1,FAFSA_Eligibility,How can I find out if I qualify?
Alpha1,FAFSA_Eligibility,Do I qualify for financial assistance?
Alpha1,FAFSA_Eligibility,Do I qualify for assistance?
Alpha1,FAFSA_Eligibility,Can I get scholarships?
Alpha1,FAFSA_Eligibility, How do I know if I qualify?
Alpha1,FAFSA_Eligibility,how do I know if I am eligible for financial aid 
Alpha1,FAFSA_Eligibility,how can I qualify for financial aid
Alpha1,FAFSA_Eligibility,what's the criteria to qualify for financial aid
Alpha1,FAFSA_Eligibility,how can I qualify for federal financial aid
Alpha1,FAFSA_Eligibility,Help with qualifying for financial aid
Alpha1,FAFSA_Eligibility,How do I get financial aid?
Alpha1,FAFSA_Eligibility,Does my income level qualify me for financial aid?
Alpha1,FAFSA_Eligibility,qualify if I have a part-time job?
Alpha1,FAFSA_Eligibility,financial aid eligibility criteria
Alpha1,FAFSA_Eligibility,am I eligible for financial aid at
Alpha1,FAFSA_Eligibility,What’s needed to be eligible?
Alpha1,FAFSA_Eligibility,Can I get FAFSA aid?
Alpha1,FAFSA_Eligibility,How do I know if I can get federal student aid? 
Alpha1,FAFSA_Eligibility,Am I eligible for student aid?
Alpha1,FAFSA_Eligibility, Can I get federal student aid?
Alpha1,FAFSA_Eligibility,fafsa eligibility
Alpha1,FAFSA_Eligibility,am I eligible for financial aid?
Alpha1,FAFSA_Eligibility,Am I eligible for FAFSA?
Alpha1,FAFSA_Eligibility,What do I have to do to apply for FAFSA?
Alpha1,FAFSA_Eligibility,How do I know if I am eligible?
Alpha1,FAFSA_Eligibility,how do I know if I'm eligible for financial aid
Alpha1,FAFSA_Eligibility,Can I get financial aid  
Alpha1,FAFSA_Eligibility,How do I know if I am eligible to receive aid?
Alpha1,FAFSA_Eligibility,How do I get aid?
Alpha1,FAFSA_Eligibility,am I eligible for aid?
Alpha1,FAFSA_Eligibility,what makes me eligible for aid?
Alpha1,FAFSA_Eligibility,how do I know if I'm eligible for federal aid?
Alpha1,FAFSA_Eligibility,Eligibility for federal aid
Alpha1,FAFSA_Eligibility,Ability to get aid
Alpha1,FAFSA_Eligibility,federal financial aid eligibility
Alpha1,FAFSA_Eligibility,Eligibility guidelines for aid
Alpha1,FAFSA_Eligibility,  Qualifications for aid
Alpha1,FAFSA_Eligibility,How do I get more money from the government?
Alpha1,FAFSA_Eligibility,Am I eligible for government grants or scholarships?
Alpha1,FAFSA_Eligibility,How do I get more money from the government?
Alpha1,FAFSA_Eligibility,FAFSA criteria 
Alpha1,FAFSA_Eligibility,Government aid criteria 
Alpha1,FAFSA_Eligibility,eligible for money from government 
Alpha1,FAFSA_Eligibility,Am I eligable for student aid?
Alpha1,FAFSA_Eligibility,student financial aid criteria
Alpha1,FAFSA_Eligibility,Hi! I am hoping to figure out what kind of loan I can get?
Alpha1,FAFSA_Eligibility,are loans available to me? 
