MlDomainName,MlIntentName,Utterance
Alpha1,FAFSA_Words,"Hello, can you please clarify what this word is asking me to do?"
Alpha1,FAFSA_Words, Can you further explain what this word means?
Alpha1,FAFSA_Words,What are other words that are similar to this one?
Alpha1,FAFSA_Words,What does this word mean?
Alpha1,FAFSA_Words,What does this term mean?
Alpha1,FAFSA_Words,What is the meaning of
Alpha1,FAFSA_Words,What does word mean?
Alpha1,FAFSA_Words,What does term mean?
Alpha1,FAFSA_Words,What is word?
Alpha1,FAFSA_Words,I don't know what this word means 
Alpha1,FAFSA_Words,Not sure what this word means
Alpha1,FAFSA_Words,"please help, what does this word mean"
Alpha1,FAFSA_Words,What is this word? 
Alpha1,FAFSA_Words,Define this word
Alpha1,FAFSA_Words,Definition of word from FAFSA
Alpha1,FAFSA_Words,Don't understand what this means on the FAFSA
Alpha1,FAFSA_Words, Need more information on word
Alpha1,FAFSA_Words,What does that mean? 
Alpha1,FAFSA_Words,Please clarify this term
Alpha1,FAFSA_Words,What do you mean by this term? 
Alpha1,FAFSA_Words,"I don't know that term, what's that? "
Alpha1,FAFSA_Words,What is the meaning of this word?
Alpha1,FAFSA_Words,Word meaning
Alpha1,FAFSA_Words,what is word
Alpha1,FAFSA_Words,What do you mean by
Alpha1,FAFSA_Words,Can you explain what you mean by
Alpha1,FAFSA_Words,I don't understand this term
Alpha1,FAFSA_Words,Can you explain that term?
Alpha1,FAFSA_Words, Where can I find more information on that word?
Alpha1,FAFSA_Words,Explain?
Alpha1,FAFSA_Words,Huh? I didn't get the word
Alpha1,FAFSA_Words,Huh? I don't understand the word
Alpha1,FAFSA_Words,What is the definition of this word?
Alpha1,FAFSA_Words,Term meaning
Alpha1,FAFSA_Words,What is term
Alpha1,FAFSA_Words,what does that word mean?
Alpha1,FAFSA_Words,"Help ""term"""
Alpha1,FAFSA_Words,More info on term
Alpha1,FAFSA_Words,More info on word
Alpha1,FAFSA_Words,Glossary
Alpha1,FAFSA_Words,Dictionary
Alpha1,FAFSA_Words,what does this mean?
Alpha1,FAFSA_Words,explanation glossary
Alpha1,FAFSA_Words,Define term
Alpha1,FAFSA_Words,Translate word
Alpha1,FAFSA_Words,What does word refer to? 
Alpha1,FAFSA_Words,definitions glossary help!
Alpha1,FAFSA_Words,I don't know what this means
Alpha1,FAFSA_Words,Can you define this term? 
Alpha1,FAFSA_Words,I am a bit confused. What does this word mean?
Alpha1,FAFSA_Words,What does this mean exactly?
Alpha1,FAFSA_Words,help me with this word
Alpha1,FAFSA_Words,can you explain this confusing term
Alpha1,FAFSA_Words,I'm confused on this word 
Alpha1,FAFSA_Words,"help me, I don't know what this means"
Alpha1,FAFSA_Words,help! I'm confused on a term
Alpha1,FAFSA_Words,I'm stuck on this term
Alpha1,FAFSA_Words,What does this FAFSA term mean? 
Alpha1,FAFSA_Words,FAFSA glossary
Alpha1,FAFSA_Words,fafsa dictionary 
